Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
Womens|Dresses|1|5054240348687|Embellished Dress|GEM324694|£15.00|"Make a stunning addition to your formal wear this season with this lovely embellished dress. Featuring elegant jewel embellishment and light fabric, this figure friendly dress is sure to have you turning heads at all events.

•  Back keyhole fastening

Length: 37 Inches / 94 cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||2|5054390020426|Lace V-Neck Dress|GEM320652|£40.00|"Make an entrance with this flawless lace dress. Designed for high octane evening dressing, it comes with an always-flattering V-neckline, beautiful lace fabric and sheer sleeves for an added touch of elegance. What's more, this dress is fully lined to ensure comfort no matter how long the occasion. 

•  All-over lace design
•  Short sleeves
•  Fully lined
•  Back zip fastening

Length: 41 Inches / 104cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054390019451|Lace V-neck Dress|GEM320651|£40.00|"Make an entrance with this flawless lace dress. Designed for high octane evening dressing, it comes with an always-flattering V-neckline, beautiful lace fabric and sheer sleeves for an added touch of elegance. What's more, this dress is fully lined to ensure comfort no matter how long the occasion. 

•  All-over lace design
•  Short sleeves
•  Fully lined

Length: 42 Inches / 107cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|4|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054390412993|G21 Chiffon Slip Dress|GEM319108 |£18.00|"Add a wonderful pop of colour to your wardrobe with this trendy G21 chiffon slip dress. This minimalist, figure-friendly piece is anything but humble, and is perfect for making a loud and stylish statement this season. 

•  Sleeveless

Length: 34½ Inches / 87½cm
Mannequin height: 5’8”

Cool and coordinated, G21 is your one-stop shop for today’s hottest trends. In carefully synchronised colourways, our expert edit of key shapes makes styling your new look a cinch."|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054390379609|Lace Panel Dress|GEM318884|£10.00|"Nothing is more flattering than a little black dress and this lace panel dress is a sensational take on a timeless classic. With intricate lace detailing, this stunning and eminently wearable piece is bound to become a stylish staple this season.

•  Cropped sleeve

Length: 34 Inches / 86½cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054390378695|Polka Dot Funnel Neck Dress|GEM318874 |£10.00|"Go bold and beautiful this season with this stunning polka dot funnel neck dress. The perfect fusion of elegance and a bold statement look, this ultra-trendy piece is bound to become your go-to for an instant fashion fix.

•  Long sleeve

Length: 34 Inches / 86cm  
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054390379739|Floral Lace Panel Dress|GEM318824|£10.00|"The perfect flatter and flaunt piece, this floral lace panel dress will have all eyes on you. With intricate lace detailing and a gorgeous floral print, you’ll be popping this feminine piece on again and again this season.

•  Cropped sleeve

Length: 34 Inches / 86½cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054390378565|Funnel Neck Floral Dress|GEM318823|£10.00|"Go bold in blossoms in this stunning funnel neck floral dress this season. Featuring a striking and bright floral print and an elegant funnel neck, this fantastic piece will give you a flamboyant foundation for all occasions. 

•  Cropped sleeve

Length: 34½ Inches / 87½cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054390378954|Leopard Print Dress|GEM318822|£12.00|"Add a wildcard to your wardrobe with this stylish and striking leopard print dress. Crafted using stretch fabric, this stunning and figure-friendly piece will become your go-to for an instant fashion fix.

•  Tie back fastening
•  Cropped sleeve

Length: 40 Inches / 102cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054390378824|Floral Print Dress|GEM318821 |£12.00|"Go bold in blossoms with this stunning floral print dress this season. Created using light fabric and stamped with an eye-catching and bright floral print, this comfy piece is guaranteed to become a favourite.

•  Tie back fastening
•  Cropped sleeve

Length: 39 Inches / 99cm
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
